search_term,video_url,title,username,view_num,created_at,collected_at
best ice cream shops,/watch?v=kLbI9uhBC1o&pp=ygUUYmVzdCBpY2UgY3JlYW0gc2hvcHM%3D,,Amazing Top 10,1.8K views,2 years ago,2026-01-22 02:01:40.989463
best ice cream shops,/watch?v=r4vIef9wLqM&pp=ygUUYmVzdCBpY2UgY3JlYW0gc2hvcHM%3D,,Mashed,44K views,4 years ago,2026-01-22 02:01:40.991296
best ice cream shops,/watch?v=FZuIch-Eq1s&pp=ygUUYmVzdCBpY2UgY3JlYW0gc2hvcHM%3D,,Insider Food,4.9M views,6 years ago,2026-01-22 02:01:40.992413
best ice cream shops,/watch?v=ERgkHneOtWk&pp=ygUUYmVzdCBpY2UgY3JlYW0gc2hvcHM%3D,,Diamondback's Top 10,3.9K views,4 years ago,2026-01-22 02:01:40.993657
best ice cream shops,/watch?v=_Ht1TuTnv9s&pp=ygUUYmVzdCBpY2UgY3JlYW0gc2hvcHM%3D,,CNBC Make It,1.4M views,2 years ago,2026-01-22 02:01:40.994559
best ice cream shops,/watch?v=HqC52VwbYdg&pp=ygUUYmVzdCBpY2UgY3JlYW0gc2hvcHM%3D,,Hey Again,805 views,1 year ago,2026-01-22 02:01:40.995137
best ice cream shops,/watch?v=p6A6VuNiC6s&pp=ygUUYmVzdCBpY2UgY3JlYW0gc2hvcHPSBwkJhwoBhyohjO8%3D,,Matt James,21K views,1 year ago,2026-01-22 02:01:40.996236
best ice cream shops,/watch?v=O2Au0SXlATM&pp=ygUUYmVzdCBpY2UgY3JlYW0gc2hvcHM%3D,,Insider Food,7M views,6 years ago,2026-01-22 02:01:40.997373
best ice cream shops,/watch?v=aguQliiQOeA&pp=ygUUYmVzdCBpY2UgY3JlYW0gc2hvcHM%3D,,Insider Food,1.9M views,6 years ago,2026-01-22 02:01:40.998538
best ice cream shops,/watch?v=-gxC4B_WGYI&pp=ygUUYmVzdCBpY2UgY3JlYW0gc2hvcHM%3D,,America's Test Kitchen,740K views,4 years ago,2026-01-22 02:01:40.999472
best ice cream shops,/watch?v=gec-V5jT5-o&pp=ygUUYmVzdCBpY2UgY3JlYW0gc2hvcHM%3D,,RestroSpot,1.7K views,2 years ago,2026-01-22 02:01:41.000604
best ice cream shops,/watch?v=ESWbKCLPWRs&pp=ygUUYmVzdCBpY2UgY3JlYW0gc2hvcHM%3D,,Binging with Babish,1.5M views,1 year ago,2026-01-22 02:01:41.001673
best ice cream shops,/watch?v=nvMdOo8CsBA&pp=ygUUYmVzdCBpY2UgY3JlYW0gc2hvcHM%3D,,RestroSpot,1.4K views,2 years ago,2026-01-22 02:01:41.002372
best ice cream shops,/watch?v=wi_Ivz3_pg8&pp=ygUUYmVzdCBpY2UgY3JlYW0gc2hvcHM%3D,,California Through My Lens,22K views,3 years ago,2026-01-22 02:01:41.003310
best ice cream shops,/watch?v=rTbeS1tIqP0&pp=ygUUYmVzdCBpY2UgY3JlYW0gc2hvcHM%3D,,Cohen Thompson,500K views,2 years ago,2026-01-22 02:01:41.004133
best ice cream shops,/watch?v=qcmFfalYMVI&pp=ygUUYmVzdCBpY2UgY3JlYW0gc2hvcHM%3D,,Munchies,375K views,5 years ago,2026-01-22 02:01:41.004750
best ice cream shops,/watch?v=amy4e_KOjao&pp=ygUUYmVzdCBpY2UgY3JlYW0gc2hvcHM%3D,,Dine Spot,278 views,5 months ago,2026-01-22 02:01:41.005308
best ice cream shops,/watch?v=rbEN9iWynws&pp=ygUUYmVzdCBpY2UgY3JlYW0gc2hvcHM%3D,,Munchies,494K views,5 years ago,2026-01-22 02:01:41.005916
best ice cream shops,/watch?v=RM0hJK2Givo&pp=ygUUYmVzdCBpY2UgY3JlYW0gc2hvcHM%3D,,Built to Eat,14K views,2 months ago,2026-01-22 02:01:41.006655
best ice cream shops,/watch?v=mMnsjyFjb68&pp=ygUUYmVzdCBpY2UgY3JlYW0gc2hvcHM%3D,,sir yacht,270K views,6 months ago,2026-01-22 02:01:41.007172
best ice cream shops,/watch?v=O2Au0SXlATM&pp=ygUUYmVzdCBpY2UgY3JlYW0gc2hvcHPSBwkJhwoBhyohjO8%3D,,Insider Food,7M views,6 years ago,2026-01-22 02:01:47.158656
best ice cream shops,/watch?v=00COJrv5blY&pp=ygUUYmVzdCBpY2UgY3JlYW0gc2hvcHM%3D,,Our City Host,9.6K views,3 years ago,2026-01-22 02:01:52.781155
