search_term,video_url,title,username,view_num,created_at,collected_at
ice cream business,/watch?v=K90sy86oc6w&pp=ygUSaWNlIGNyZWFtIGJ1c2luZXNz,,Wilson K Lee - How To Open A Restaurant / F&B Shop,247K views,6 years ago,2026-01-22 02:02:21.966357
ice cream business,/watch?v=oZuz9AHe9JA&pp=ygUSaWNlIGNyZWFtIGJ1c2luZXNz,,Modern MBA,713K views,1 year ago,2026-01-22 02:02:21.967475
ice cream business,/watch?v=9AGbc4X1u6A&pp=ygUSaWNlIGNyZWFtIGJ1c2luZXNz,,James Sinclair,73K views,4 months ago,2026-01-22 02:02:21.968732
ice cream business,/watch?v=_Ht1TuTnv9s&pp=ygUSaWNlIGNyZWFtIGJ1c2luZXNz,,CNBC Make It,1.4M views,2 years ago,2026-01-22 02:02:21.970053
ice cream business,/watch?v=8VV3ZwLdpxc&pp=ygUSaWNlIGNyZWFtIGJ1c2luZXNz,,Top Creamery,234K views,4 years ago,2026-01-22 02:02:21.973038
ice cream business,/watch?v=PHpgA2LmDdQ&pp=ygUSaWNlIGNyZWFtIGJ1c2luZXNz,,Sentry Equipment,5.2K views,6 months ago,2026-01-22 02:02:21.973964
ice cream business,/watch?v=dHg6Y-Wg6Fw&pp=ygUSaWNlIGNyZWFtIGJ1c2luZXNz,,CNBC Make It,665K views,6 years ago,2026-01-22 02:02:21.975885
ice cream business,/watch?v=GgWMiuhlD-M&pp=ygUSaWNlIGNyZWFtIGJ1c2luZXNz,,Munchies,267K views,3 years ago,2026-01-22 02:02:21.977674
ice cream business,/watch?v=9De_khXw_TU&pp=ygUSaWNlIGNyZWFtIGJ1c2luZXNz,,TRUiC,39K views,4 years ago,2026-01-22 02:02:21.981741
ice cream business,/watch?v=TEBRI0lMMrE&pp=ygUSaWNlIGNyZWFtIGJ1c2luZXNz,,CNBC Make It,810K views,2 years ago,2026-01-22 02:02:21.983613
ice cream business,/watch?v=8lLPNeOlKrk&pp=ygUSaWNlIGNyZWFtIGJ1c2luZXNz0gcJCYcKAYcqIYzv,,Wilson K Lee - How To Open A Restaurant / F&B Shop,97K views,6 years ago,2026-01-22 02:02:21.985386
ice cream business,/watch?v=gNVR1YJsnvc&pp=ygUSaWNlIGNyZWFtIGJ1c2luZXNz,,UpFlip,131K views,9 months ago,2026-01-22 02:02:21.986432
ice cream business,/watch?v=juFoQdBVFxI&pp=ygUSaWNlIGNyZWFtIGJ1c2luZXNz,,CBC News,19K views,1 year ago,2026-01-22 02:02:21.988399
ice cream business,/watch?v=3gsnx6j-1Kw&pp=ygUSaWNlIGNyZWFtIGJ1c2luZXNz,,founder activity,42K views,2 years ago,2026-01-22 02:02:21.989678
ice cream business,/watch?v=R8N0bzoRZMU&pp=ygUSaWNlIGNyZWFtIGJ1c2luZXNz,,Wilson K Lee - How To Open A Restaurant / F&B Shop,132K views,4 years ago,2026-01-22 02:02:21.992257
ice cream business,/watch?v=nGUNyn3Y6BE&pp=ygUSaWNlIGNyZWFtIGJ1c2luZXNz,,BizMove,7.4K views,2 years ago,2026-01-22 02:02:21.993192
ice cream business,/watch?v=xi9CWgzSICQ&pp=ygUSaWNlIGNyZWFtIGJ1c2luZXNz0gcJCYcKAYcqIYzv,,Arab News PK,47K views,4 years ago,2026-01-22 02:02:21.994208
ice cream business,/watch?v=do5_8PpH9dE&pp=ygUSaWNlIGNyZWFtIGJ1c2luZXNz0gcJCYcKAYcqIYzv,,Fortune Magazine,19K views,1 year ago,2026-01-22 02:02:21.995378
ice cream business,/watch?v=2_zMQ6g_guU&pp=ygUSaWNlIGNyZWFtIGJ1c2luZXNz,,Marketing Food Online,3.1K views,6 months ago,2026-01-22 02:02:21.997402
ice cream business,/watch?v=lqHPxQFfGsQ&pp=ygUSaWNlIGNyZWFtIGJ1c2luZXNz,,inJoy Philippines Official,102K views,5 years ago,2026-01-22 02:02:21.998415
ice cream business,/shorts/ecRwmGLWKGA,,The Business Bubble,21K views,1 year ago,2026-01-22 02:02:27.599768
ice cream business,/watch?v=WHZP9f8cdUo&pp=ygUSaWNlIGNyZWFtIGJ1c2luZXNz,,Wilson K Lee - How To Open A Restaurant / F&B Shop,99K views,5 years ago,2026-01-22 02:02:27.600762
ice cream business,/shorts/Zi-CZw41aaw,,Nikko Montanez,143K views,7 months ago,2026-01-22 02:02:27.601290
ice cream business,/watch?v=1qlrRmRTbVY&pp=ygUSaWNlIGNyZWFtIGJ1c2luZXNz,,Business Insider,4.5M views,5 years ago,2026-01-22 02:02:27.601852
ice cream business,/shorts/qOAVmATkFVU,,The Geoff Wilson Show,6.9K views,3 years ago,2026-01-22 02:02:27.602380
ice cream business,/watch?v=v5jIhVBSsTs&pp=ygUSaWNlIGNyZWFtIGJ1c2luZXNz,,FOX 5 New York,72K views,5 months ago,2026-01-22 02:02:27.602922
ice cream business,/shorts/-4hdzDb2ahQ,,Step,74K views,2 years ago,2026-01-22 02:02:27.603410
ice cream business,/watch?v=myyqRwkQgoI&pp=ygUSaWNlIGNyZWFtIGJ1c2luZXNz,,PinoyHowTo,7.8K views,3 years ago,2026-01-22 02:02:27.603900
ice cream business,/shorts/L4xRky4zpXo,,Marc Simplified,51K views,6 months ago,2026-01-22 02:02:27.604391
ice cream business,/shorts/fPMhRv_B28g,,NewGen,6.2M views,3 months ago,2026-01-22 02:02:27.604922
ice cream business,/watch?v=aNN9oLyZG-0&pp=ygUSaWNlIGNyZWFtIGJ1c2luZXNz0gcJCYcKAYcqIYzv,,New Business Ideas,46K views,5 years ago,2026-01-22 02:02:27.605959
ice cream business,/shorts/a8Jhta-L-wE,,MLC DELUXE FOOD EQUIPMENT NG,72K views,6 months ago,2026-01-22 02:02:27.606748
ice cream business,/shorts/5DP1KX6FhA4,,Sam Shan Shops,56M views,1 year ago,2026-01-22 02:02:27.607358
ice cream business,/shorts/yJn7Geyh8oQ,,Earn Ways Hub,38K views,10 months ago,2026-01-22 02:02:27.608032
ice cream business,/shorts/k-6w2BTfB54,,Wholesale Bazar,30K views,9 months ago,2026-01-22 02:02:27.608570
ice cream business,/watch?v=Vhcy5_lQXoM&pp=ygUSaWNlIGNyZWFtIGJ1c2luZXNz,,Mzansi Business Connect,2.7K views,9 months ago,2026-01-22 02:02:27.609093
ice cream business,/shorts/lUflspNOhrY,,Cook with Ea,1.1M views,1 year ago,2026-01-22 02:02:27.609694
ice cream business,/shorts/-0NS6T1lYZ4,,Digital CEO,63K views,3 months ago,2026-01-22 02:02:27.610210
ice cream business,/shorts/Go02n1xJaMw,,Rathish Menon Business Atelier,3.4K views,4 months ago,2026-01-22 02:02:27.610751
