search_term,video_url,title,username,view_num,created_at,collected_at
ice cream recipe,/watch?v=I8GSmwqVLKQ&pp=ygUQaWNlIGNyZWFtIHJlY2lwZQ%3D%3D,,Collard Valley Cooks,149K views,Streamed 2 years ago,2026-01-22 02:00:59.097323
ice cream recipe,/watch?v=C3Z-ZyU9XTw&pp=ygUQaWNlIGNyZWFtIHJlY2lwZQ%3D%3D,,Lillie Kane,132K views,8 months ago,2026-01-22 02:00:59.098123
ice cream recipe,/watch?v=_Zt1EuIEhvw&pp=ygUQaWNlIGNyZWFtIHJlY2lwZQ%3D%3D,,Jerry James Stone,29M views,10 years ago,2026-01-22 02:00:59.099164
ice cream recipe,/watch?v=72Ml3U39xqs&pp=ygUQaWNlIGNyZWFtIHJlY2lwZQ%3D%3D,,America's Test Kitchen,1.3M views,2 years ago,2026-01-22 02:00:59.099983
ice cream recipe,/watch?v=8qlP7U-_FnE&pp=ygUQaWNlIGNyZWFtIHJlY2lwZQ%3D%3D,,WELCOME TO MY CURLS,54K views,1 year ago,2026-01-22 02:00:59.100818
ice cream recipe,/watch?v=3IJZHc0HDow&pp=ygUQaWNlIGNyZWFtIHJlY2lwZQ%3D%3D,,The Cooking Foodie,224K views,1 year ago,2026-01-22 02:00:59.101400
ice cream recipe,/watch?v=JXgchQzPul4&pp=ygUQaWNlIGNyZWFtIHJlY2lwZQ%3D%3D,,Brad & Christa | formerly Big Family Homestead,416K views,7 years ago,2026-01-22 02:00:59.102341
ice cream recipe,/watch?v=BgIDKIyFMHI&pp=ygUQaWNlIGNyZWFtIHJlY2lwZQ%3D%3D,,Precious Kitchen,2.5M views,5 years ago,2026-01-22 02:00:59.103065
ice cream recipe,/watch?v=a-LBUlmtkCo&pp=ygUQaWNlIGNyZWFtIHJlY2lwZQ%3D%3D,,Food Fusion,126K views,7 days ago,2026-01-22 02:00:59.104226
ice cream recipe,/watch?v=o56G6UiZjSA&pp=ygUQaWNlIGNyZWFtIHJlY2lwZQ%3D%3D,,NoobBlox,422K views,5 months ago,2026-01-22 02:00:59.104794
